Product_ID,Product_Name,Category,Subcategory,Brand,Launch_Date,Unit_Cost,Selling_Price,Supplier_ID,Product_Rating,Return_Rate,Warranty_Months
P00001,Home Appliances Item 1,Home Appliances,Kitchen,Brand_96,2025-11-03,3978.73,7681.47,SUP0098,3.6,0.054,12
P00002,Fashion Item 2,Fashion,Womenswear,Brand_62,2019-01-07,1295.38,1892.03,SUP0369,4.1,0.045,0
P00003,Fashion Item 3,Fashion,Womenswear,Brand_53,2021-03-31,2612.59,3343.52,SUP0275,5.0,0.124,0
P00004,Fashion Item 4,Fashion,Womenswear,Brand_4,2024-08-28,602.44,979.35,SUP0297,2.9,0.196,0
P00005,Fashion Item 5,Fashion,Womenswear,Brand_72,2019-11-02,1307.0,2467.98,SUP0198,3.5,0.105,0
P00006,Fashion Item 6,Fashion,Womenswear,Brand_18,2018-07-20,3953.03,6341.37,SUP0220,3.4,0.12,0
P00007,Furniture Item 7,Furniture,Living Room,Brand_37,2025-07-19,7782.0,12941.27,SUP0044,3.5,0.035,6
P00008,Home Appliances Item 8,Home Appliances,Kitchen,Brand_4,2021-11-15,5271.6,8323.57,SUP0089,3.9,0.037,36
P00009,Furniture Item 9,Furniture,Living Room,Brand_36,2021-06-16,12973.35,20698.65,SUP0372,3.0,0.092,12
P00010,Home Appliances Item 10,Home Appliances,Kitchen,Brand_15,2019-11-17,1955.26,3274.48,SUP0090,3.2,0.031,36
P00011,Grocery Item 11,Grocery,Staples,Brand_77,2019-05-28,525.98,766.53,SUP0361,3.3,0.018,0
P00012,Fashion Item 12,Fashion,Womenswear,Brand_33,2024-04-13,1399.21,2535.01,SUP0354,3.7,0.066,0
P00013,Electronics Item 13,Electronics,Mobiles,Brand_43,2019-11-10,12013.05,21235.9,SUP0325,2.9,0.168,6
P00014,Home Appliances Item 14,Home Appliances,Kitchen,Brand_18,2018-06-14,6117.41,11760.26,SUP0055,3.0,0.104,6
P00015,Electronics Item 15,Electronics,Mobiles,Brand_81,2019-06-19,28616.93,36899.92,SUP0022,2.7,0.207,6
P00016,Fashion Item 16,Fashion,Womenswear,Brand_51,2018-08-25,1504.72,3167.5,SUP0030,3.9,0.102,0
P00017,Home Appliances Item 17,Home Appliances,Kitchen,Brand_70,2020-11-08,4208.64,6763.16,SUP0282,4.2,0.054,6
P00018,Fashion Item 18,Fashion,Womenswear,Brand_3,2019-06-17,816.19,1343.58,SUP0338,3.2,0.031,0
P00019,Furniture Item 19,Furniture,Living Room,Brand_38,2022-11-13,14169.07,19150.24,SUP0366,3.0,0.054,12
P00020,Electronics Item 20,Electronics,Mobiles,Brand_79,2020-10-02,8011.83,17000.08,SUP0016,,0.032,12
P00021,Fashion Item 21,Fashion,Womenswear,Brand_91,2024-05-16,1289.0,2295.28,SUP0345,3.9,0.145,0
P00022,Electronics Item 22,Electronics,Mobiles,Brand_40,2022-07-06,12281.04,22905.88,SUP0258,4.3,0.038,24
P00023,Electronics Item 23,Electronics,Mobiles,Brand_52,2020-11-29,24400.29,32225.69,SUP0214,,0.005,6
P00024,Grocery Item 24,Grocery,Staples,Brand_24,2022-12-29,230.66,327.82,SUP0498,4.3,0.066,0
P00025,Furniture Item 25,Furniture,Living Room,Brand_2,2024-02-23,13677.15,16846.27,SUP0272,3.6,0.071,24
P00026,Fashion Item 26,Fashion,Womenswear,Brand_94,2020-02-02,504.74,877.36,SUP0068,4.0,0.077,0
P00027,Electronics Item 27,Electronics,Mobiles,Brand_61,2024-07-14,4871.46,6676.31,SUP0264,4.0,0.022,12
P00028,Electronics Item 28,Electronics,Mobiles,Brand_70,2018-01-23,10723.91,22654.46,SUP0126,4.2,0.058,6
P00029,Fashion Item 29,Fashion,Womenswear,Brand_16,2019-08-03,3291.79,5023.13,SUP0298,4.3,0.101,0
P00030,Fashion Item 30,Fashion,Womenswear,Brand_77,2018-11-14,391.62,696.54,SUP0094,5.0,0.059,0
P00031,Electronics Item 31,Electronics,Mobiles,Brand_67,2023-11-15,8586.84,12106.49,SUP0029,3.5,0.078,12
P00032,Electronics Item 32,Electronics,Mobiles,Brand_3,2025-05-05,9128.04,18534.94,SUP0406,3.0,0.062,6
P00033,Fashion Item 33,Fashion,Womenswear,Brand_95,2025-05-12,432.7,732.79,SUP0044,4.1,0.144,0
P00034,Electronics Item 34,Electronics,Mobiles,Brand_79,2020-11-27,8704.66,16784.33,SUP0211,4.0,0.005,24
P00035,Furniture Item 35,Furniture,Living Room,Brand_78,2023-06-28,4482.88,6760.96,SUP0414,4.4,0.034,36
P00036,Home Appliances Item 36,Home Appliances,Kitchen,Brand_28,2019-06-19,6817.03,8559.73,SUP0129,3.7,0.034,36
P00037,Electronics Item 37,Electronics,Mobiles,Brand_58,2018-05-29,12681.68,16373.39,SUP0218,3.6,0.062,12
P00038,Electronics Item 38,Electronics,Mobiles,Brand_38,2023-09-13,11818.44,17963.43,SUP0029,3.9,0.005,24
P00039,Grocery Item 39,Grocery,Staples,Brand_89,2021-11-08,144.31,204.39,SUP0483,4.0,0.022,0
P00040,Electronics Item 40,Electronics,Mobiles,Brand_50,2022-10-06,11845.61,17845.56,SUP0411,3.4,0.033,24
P00041,Grocery Item 41,Grocery,Staples,Brand_39,2023-08-11,150.93,321.99,SUP0439,3.7,0.09,0
